2022-04-20 15:01:51.073 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 10, 'condition': {'groupStatus': 'Total', 'staticDate': '2022-04-20'}}
2022-04-20 15:01:51.073 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"total":1,"list":[{"agentName":"接口测试","agentId":"1515959916883808257","agentLevel":3,"registTime":"2022-04-18 15:46:24","headPicture":"http://patient.ehomepoct.com/images/defaultHeadPartner.png","phone":"13698765432","testAmount":0.00,"testPortion":0.00,"testTimes":0.00,"totalClinicNum":0,"newClinicNum":0,"address":""}]}}
2022-04-20 15:01:51.073 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.187209
2022-04-20 15:01:51.074 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-04-20 15:01:51.074 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 15:01:51.074 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 15:01:51.307 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 10, 'condition': {'groupStatus': 'Total', 'staticDate': '2022-04-19'}}
2022-04-20 15:01:51.307 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"total":1,"list":[{"agentName":"接口测试","agentId":"1515959916883808257","agentLevel":3,"registTime":"2022-04-18 15:46:24","headPicture":"http://patient.ehomepoct.com/images/defaultHeadPartner.png","phone":"13698765432","testAmount":0.00,"testPortion":0.00,"testTimes":0.00,"totalClinicNum":0,"newClinicNum":0,"address":""}]}}
2022-04-20 15:01:51.308 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.149262
2022-04-20 15:01:51.308 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-04-20 15:01:51.308 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 15:01:51.308 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 15:01:51.562 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 10, 'condition': {'groupStatus': 'Total', 'staticDate': '2022-05-20'}}
2022-04-20 15:01:51.562 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"total":1,"list":[{"agentName":"接口测试","agentId":"1515959916883808257","agentLevel":3,"registTime":"2022-04-18 15:46:24","headPicture":"http://patient.ehomepoct.com/images/defaultHeadPartner.png","phone":"13698765432","testAmount":0.00,"testPortion":0.00,"testTimes":0.00,"totalClinicNum":0,"newClinicNum":0,"address":""}]}}
2022-04-20 15:01:51.563 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.16423
2022-04-20 15:01:51.563 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-04-20 15:01:51.563 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 15:01:51.563 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 15:01:51.775 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'pageIndex': 1, 'pageSize': 10, 'condition': {'groupStatus': 'New', 'staticDate': '2022-04-20'}}
2022-04-20 15:01:51.775 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"total":0,"list":[]}}
2022-04-20 15:01:51.775 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.129761
2022-04-20 15:01:51.775 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-04-20 15:01:51.775 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 15:01:51.776 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
