2022-04-13 10:02:01.312 | INFO     | agentTestCase:test_001_post_queryEveryDayData:34 - 接口响应时间为：0.18489
2022-04-13 10:02:01.312 | INFO     | agentTestCase:test_001_post_queryEveryDayData:36 - busicode为：0
2022-04-13 10:02:01.312 | INFO     | agentTestCase:test_001_post_queryEveryDayData:38 - msg与预期一致
2022-04-13 10:02:01.312 | INFO     | agentTestCase:test_001_post_queryEveryDayData:41 - 响应内容与预期一致
2022-04-13 10:02:01.493 | INFO     | agentTestCase:test_001_post_queryEveryDayData:34 - 接口响应时间为：0.094026
2022-04-13 10:02:01.494 | INFO     | agentTestCase:test_001_post_queryEveryDayData:36 - busicode为：0
2022-04-13 10:02:01.494 | INFO     | agentTestCase:test_001_post_queryEveryDayData:38 - msg与预期一致
2022-04-13 10:02:01.494 | INFO     | agentTestCase:test_001_post_queryEveryDayData:41 - 响应内容与预期一致
2022-04-13 10:02:01.654 | INFO     | agentTestCase:test_001_post_queryEveryDayData:34 - 接口响应时间为：0.073363
2022-04-13 10:02:01.655 | INFO     | agentTestCase:test_001_post_queryEveryDayData:36 - busicode为：400
2022-04-13 10:02:01.656 | INFO     | agentTestCase:test_001_post_queryEveryDayData:38 - msg与预期一致
2022-04-13 10:02:01.656 | INFO     | agentTestCase:test_001_post_queryEveryDayData:44 - 响应内容与预期一致
2022-04-13 10:02:01.818 | INFO     | agentTestCase:test_001_post_queryEveryDayData:34 - 接口响应时间为：0.073864
2022-04-13 10:02:01.818 | INFO     | agentTestCase:test_001_post_queryEveryDayData:36 - busicode为：400
2022-04-13 10:02:01.818 | INFO     | agentTestCase:test_001_post_queryEveryDayData:38 - msg与预期一致
2022-04-13 10:02:01.818 | INFO     | agentTestCase:test_001_post_queryEveryDayData:44 - 响应内容与预期一致
2022-04-13 10:02:01.975 | INFO     | agentTestCase:test_001_post_queryEveryDayData:34 - 接口响应时间为：0.073478
2022-04-13 10:02:01.976 | INFO     | agentTestCase:test_001_post_queryEveryDayData:36 - busicode为：400
2022-04-13 10:02:01.977 | INFO     | agentTestCase:test_001_post_queryEveryDayData:38 - msg与预期一致
2022-04-13 10:02:01.977 | INFO     | agentTestCase:test_001_post_queryEveryDayData:44 - 响应内容与预期一致
