2022-04-13 10:35:35.048 | INFO     | agentTestCase:test_001_post_queryEveryDayData:29 - 接口响应时间为：0.166296
2022-04-13 10:35:35.049 | INFO     | agentTestCase:test_001_post_queryEveryDayData:31 - busicode为：0
2022-04-13 10:35:35.049 | INFO     | agentTestCase:test_001_post_queryEveryDayData:33 - msg与预期一致
2022-04-13 10:35:35.049 | INFO     | agentTestCase:test_001_post_queryEveryDayData:36 - 响应内容与预期一致
2022-04-13 10:35:35.254 | INFO     | agentTestCase:test_001_post_queryEveryDayData:29 - 接口响应时间为：0.107044
2022-04-13 10:35:35.254 | INFO     | agentTestCase:test_001_post_queryEveryDayData:31 - busicode为：0
2022-04-13 10:35:35.255 | INFO     | agentTestCase:test_001_post_queryEveryDayData:33 - msg与预期一致
2022-04-13 10:35:35.256 | INFO     | agentTestCase:test_001_post_queryEveryDayData:36 - 响应内容与预期一致
2022-04-13 10:35:35.419 | INFO     | agentTestCase:test_001_post_queryEveryDayData:29 - 接口响应时间为：0.078604
2022-04-13 10:35:35.419 | INFO     | agentTestCase:test_001_post_queryEveryDayData:31 - busicode为：400
2022-04-13 10:35:35.420 | INFO     | agentTestCase:test_001_post_queryEveryDayData:33 - msg与预期一致
2022-04-13 10:35:35.420 | INFO     | agentTestCase:test_001_post_queryEveryDayData:39 - 响应内容与预期一致
2022-04-13 10:35:35.589 | INFO     | agentTestCase:test_001_post_queryEveryDayData:29 - 接口响应时间为：0.080205
2022-04-13 10:35:35.589 | INFO     | agentTestCase:test_001_post_queryEveryDayData:31 - busicode为：400
2022-04-13 10:35:35.589 | INFO     | agentTestCase:test_001_post_queryEveryDayData:33 - msg与预期一致
2022-04-13 10:35:35.590 | INFO     | agentTestCase:test_001_post_queryEveryDayData:39 - 响应内容与预期一致
2022-04-13 10:35:35.754 | INFO     | agentTestCase:test_001_post_queryEveryDayData:29 - 接口响应时间为：0.082625
2022-04-13 10:35:35.755 | INFO     | agentTestCase:test_001_post_queryEveryDayData:31 - busicode为：400
2022-04-13 10:35:35.755 | INFO     | agentTestCase:test_001_post_queryEveryDayData:33 - msg与预期一致
2022-04-13 10:35:35.756 | INFO     | agentTestCase:test_001_post_queryEveryDayData:39 - 响应内容与预期一致
