2022-04-13 10:08:46.614 | INFO     | agentTestCase:test_001_post_queryEveryDayData:29 - 接口响应时间为：0.169335
2022-04-13 10:08:46.614 | INFO     | agentTestCase:test_001_post_queryEveryDayData:31 - busicode为：0
2022-04-13 10:08:46.615 | INFO     | agentTestCase:test_001_post_queryEveryDayData:33 - msg与预期一致
2022-04-13 10:08:46.615 | INFO     | agentTestCase:test_001_post_queryEveryDayData:36 - 响应内容与预期一致
2022-04-13 10:08:46.826 | INFO     | agentTestCase:test_001_post_queryEveryDayData:29 - 接口响应时间为：0.111324
2022-04-13 10:08:46.826 | INFO     | agentTestCase:test_001_post_queryEveryDayData:31 - busicode为：0
2022-04-13 10:08:46.827 | INFO     | agentTestCase:test_001_post_queryEveryDayData:33 - msg与预期一致
2022-04-13 10:08:46.829 | INFO     | agentTestCase:test_001_post_queryEveryDayData:36 - 响应内容与预期一致
2022-04-13 10:08:46.996 | INFO     | agentTestCase:test_001_post_queryEveryDayData:29 - 接口响应时间为：0.08311
2022-04-13 10:08:46.996 | INFO     | agentTestCase:test_001_post_queryEveryDayData:31 - busicode为：400
2022-04-13 10:08:46.996 | INFO     | agentTestCase:test_001_post_queryEveryDayData:33 - msg与预期一致
2022-04-13 10:08:46.997 | INFO     | agentTestCase:test_001_post_queryEveryDayData:39 - 响应内容与预期一致
2022-04-13 10:08:47.174 | INFO     | agentTestCase:test_001_post_queryEveryDayData:29 - 接口响应时间为：0.091749
2022-04-13 10:08:47.174 | INFO     | agentTestCase:test_001_post_queryEveryDayData:31 - busicode为：400
2022-04-13 10:08:47.175 | INFO     | agentTestCase:test_001_post_queryEveryDayData:33 - msg与预期一致
2022-04-13 10:08:47.175 | INFO     | agentTestCase:test_001_post_queryEveryDayData:39 - 响应内容与预期一致
2022-04-13 10:08:47.369 | INFO     | agentTestCase:test_001_post_queryEveryDayData:29 - 接口响应时间为：0.082499
2022-04-13 10:08:47.369 | INFO     | agentTestCase:test_001_post_queryEveryDayData:31 - busicode为：400
2022-04-13 10:08:47.370 | INFO     | agentTestCase:test_001_post_queryEveryDayData:33 - msg与预期一致
2022-04-13 10:08:47.370 | INFO     | agentTestCase:test_001_post_queryEveryDayData:39 - 响应内容与预期一致
